127.0.0.1 - - [26/Dec/2019:11:25:09 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:25 -0800] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:28 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:28 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:28 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:28 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:28 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:28 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:29 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:29 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:29 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:32 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:36 -0800] "GET /Ecommerce_Fd_ILT/product HTTP/1.1" 200 8114
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:38 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:38 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:25:38 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 404 992
