127.0.0.1 - - [18/Jan/2020:11:16:01 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:12 -0800] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 6961
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:13 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:14 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:14 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:14 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:14 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:14 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:14 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img1.jpg HTTP/1.1" 200 171228
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:15 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img2.jpg HTTP/1.1" 200 82987
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:15 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img3.jpg HTTP/1.1" 200 159102
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:19 -0800] "GET /Ecommerce_Fd_ILT/admin/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:20 -0800] "GET /Ecommerce_Fd_ILT/login HTTP/1.1" 200 6827
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:20 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:20 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:20 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:20 -0800] "GET /Ecommerce_Fd_ILT/resources/css/loginpage.css HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:20 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:20 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:20 -0800] "GET /Ecommerce_Fd_ILT/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:20 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:20 -0800] "GET /Ecommerce_Fd_ILT/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "POST /Ecommerce_Fd_ILT/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img2.jpg HTTP/1.1" 200 82987
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img3.jpg HTTP/1.1" 200 159102
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:41 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img1.jpg HTTP/1.1" 200 171228
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:48 -0800] "GET /Ecommerce_Fd_ILT/admin/add HTTP/1.1" 200 8784
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:49 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:49 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:49 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:49 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:49 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jan/2020:11:16:49 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
